Timestep,Consumption,Power
296,2.30256315,9.210252599
297,2.295284054,9.181136214
298,2.276614536,9.106458144
299,2.257945018,9.031780073
300,2.24861026,8.994441038
301,2.239275501,8.957102003
302,2.229702778,8.918811113
303,2.220130056,8.880520223
304,2.215343695,8.861374778
305,2.210557333,8.842229333
306,2.221155249,8.884620994
307,2.226454206,8.905816825
308,2.237052121,8.948208486
309,2.242351079,8.969404316
310,2.323576475,9.294305902
311,2.364160118,9.456640472
312,2.445327403,9.781309611
313,5.485911045,21.94364418
314,5.647669093,22.59067637
315,5.728548117,22.91419247
316,5.890306166,23.56122466
317,5.97118519,23.88474076
318,5.601816179,22.40726472
319,5.674175066,22.69670026
320,5.81889284,23.27557136
321,5.891251726,23.5650069
322,5.998392393,23.99356957
323,6.105533059,24.42213224
324,6.159103392,24.63641357
325,6.255620473,25.02248189
326,6.249499974,24.9979999
327,6.237258977,24.94903591
328,6.231138479,24.92455392
329,6.19106872,24.76427488
330,6.118579825,24.4743193
331,6.082335377,24.32934151
332,6.009846482,24.03938593
333,5.991995998,23.96798399
334,5.95629503,23.82518012
335,5.938444546,23.75377818
336,5.902743578,23.61097431
337,5.875164528,23.50065811
338,5.820006429,23.28002571
339,5.792427379,23.16970952
340,5.747611423,22.99044569
341,5.328898078,21.31559231
342,5.255377656,21.02151062
343,5.108336813,20.43334725
344,5.062386549,20.2495462
345,4.989095426,19.9563817
346,4.915804302,19.66321721
347,4.87915874,19.51663496
348,4.842513179,19.37005271
349,4.841707458,19.36682983
350,4.840901737,19.36360695
351,4.840498877,19.36199551
352,4.840096017,19.36038407
353,4.878285761,19.51314304
354,5.411467417,21.64586967
355,5.449657161,21.79862864
356,5.468752033,21.87500813
357,5.515332421,22.06132968
358,5.538622615,22.15449046
359,5.585203003,22.34081201
360,5.608493198,22.43397279
361,5.623730602,22.49492241
362,5.631349304,22.52539722
363,5.646586709,22.58634684
364,5.654205411,22.61682164
365,5.592069824,22.3682793
366,5.561031087,22.24412435
367,5.498953611,21.99581444
368,5.467914874,21.87165949
369,5.386349406,21.54539762
370,5.345566672,21.38226669
371,5.264001205,21.05600482
372,5.223218471,20.89287389
373,2.235042767,8.940171068
374,2.240954915,8.96381966
375,2.252779211,9.011116843
376,2.258691358,9.034765434
377,2.270515654,9.082062617
378,2.276427802,9.105711208
379,2.288252098,9.153008391
380,2.294164246,9.176656982
381,2.305988541,9.223954165
382,2.311900689,9.247602757
383,2.323724985,9.29489994
384,2.329637133,9.318548531
385,2.338505355,9.354021418
386,2.338656447,9.354625787
387,2.338807539,9.355230156
