Timestep,Consumption,Electric_Power_kw
596,2.028990444,8.115961777
597,2.014078746,8.056314982
598,2.081725634,8.326902537
599,2.091945572,8.36778229
600,2.12033134,8.481325359
601,5.166422724,20.6656909
602,5.157581175,20.6303247
603,5.240221942,20.96088777
604,5.191646402,20.76658561
605,5.298098113,21.19239245
606,4.744036601,18.9761464
607,4.877483866,19.50993547
608,4.762473902,19.04989561
609,4.885881893,19.54352757
610,4.737790019,18.95116008
611,4.860469481,19.44187792
612,4.719412662,18.87765065
613,4.743154548,18.97261819
614,4.664128592,18.65651437
615,4.624916382,18.49966553
616,4.624482345,18.49792938
617,4.623361807,18.49344723
618,4.635289339,18.54115735
619,4.639098349,18.5563934
620,4.64290834,18.57163336
621,4.643281915,18.57312766
622,4.643608794,18.57443518
623,4.643982369,18.57592948
624,4.644309248,18.57723699
625,4.644682823,18.57873129
626,4.645009702,18.58003881
627,4.645383277,18.58153311
628,4.645710156,18.58284062
629,4.646083731,18.58433493
630,4.64641061,18.58564244
631,4.646784185,18.58713674
632,4.647111064,18.58844426
633,4.647484639,18.58993856
634,4.647811518,18.59124607
635,4.648138396,18.59255358
636,4.642160117,18.56864047
637,4.636111792,18.54444717
638,4.629199421,18.51679769
639,4.623439112,18.49375645
640,4.599139788,18.39655915
641,4.577094776,18.3083791
642,5.02594657,20.10378628
643,5.003901558,20.01560623
644,4.964220578,19.85688231
645,4.93005085,19.7202034
646,4.88733869,19.54935476
647,4.853168962,19.41267585
648,4.820425664,19.28170266
649,4.796224798,19.18489919
650,4.765973716,19.06389486
651,4.74177285,18.9670914
652,4.707911698,18.83164679
653,4.680100763,18.72040305
654,4.645337094,18.58134838
655,4.617526159,18.47010463
656,4.60697558,18.42790232
657,4.603377734,18.41351094
658,4.598880428,18.39552171
659,4.595282583,18.38113033
660,4.620824527,18.48329811
661,1.647265934,6.589063735
662,1.680317692,6.721270766
663,1.706759098,6.827036391
664,1.732821957,6.931287827
665,1.752274464,7.009097856
666,1.776590098,7.106360393
667,1.796042606,7.184170423
668,1.797136117,7.188544468
669,1.793366502,7.173466006
670,1.788654482,7.154617929
671,1.784884867,7.139539467
672,1.786994887,7.147979549
673,1.816830402,7.267321607
674,1.838936778,7.355747112
675,1.88314953,7.53259812
676,1.726416277,6.905665107
677,1.727031631,6.908126525
678,1.727339309,6.909357235
679,1.727954663,6.911818653
680,1.72826234,6.913049362
681,1.713308962,6.853235849
682,2.097396623,8.389586492
683,1.690878895,6.76351558
684,1.683402206,6.733608824
685,1.659501028,6.638004112
686,2.00637372,8.025494881
687,1.623769104,6.495076416
688,1.611858463,6.44743385
689,1.600795477,6.403181907
690,1.595263984,6.381055935
691,1.584200998,6.336803991
692,1.578669505,6.31467802
693,1.598438643,6.393754574
694,1.608323213,6.433292851
695,1.628092351,6.512369405
696,1.637976921,6.551907682
697,4.750065363,19.00026145
698,4.806069637,19.22427855
699,4.918078185,19.67231274
700,4.974082459,19.89632984
701,5.222148341,20.88859336
702,4.870875473,19.48350189
703,5.118941355,20.47576542
704,5.242974296,20.97189718
705,5.450894393,21.80357757
706,5.658814491,22.63525796
707,5.76277454,23.05109816
708,5.866734588,23.46693835
709,5.996505793,23.98602317
710,6.126276998,24.50510799
711,6.1911626,24.7646504
712,6.256048203,25.02419281
713,6.264128514,25.05651406
714,6.272208826,25.0888353
715,6.276248982,25.10499593
716,6.284329293,25.13731717
717,6.288369449,25.1534778
718,6.296449761,25.18579904
719,6.300489916,25.20195967
720,6.308570228,25.23428091
721,6.312610384,25.25044154
722,6.320690695,25.28276278
723,6.324730851,25.2989234
724,6.332811163,25.33124465
725,6.336851319,25.34740527
726,6.340891474,25.3635659
727,6.32218766,25.28875064
728,6.303483846,25.21393538
729,6.294131939,25.17652776
730,6.284780032,25.13912013
731,6.191242597,24.76497039
732,6.097705162,24.39082065
733,6.050936445,24.20374578
734,6.004167727,24.01667091
735,5.965956353,23.86382541
736,5.927744978,23.71097991
737,5.908639291,23.63455716
738,5.889533604,23.55813441
739,6.299501881,25.19800752
740,6.266833115,25.06733246
741,6.201495584,24.80598233
742,6.168826818,24.67530727
743,6.1328552,24.5314208
744,6.114869391,24.45947756
745,6.078897772,24.31559109
746,6.060911963,24.24364785
747,6.024940345,24.09976138
748,6.006954536,24.02781814
749,5.970982917,23.88393167
